Patient_ID	Sample_ID	Iteration	Cluster_ID	Abundance
patient1	patient1_t1	136	4	10
patient1	patient1_t1	136	5	19
patient1	patient1_t1	136	6	9
patient1	patient1_t1	137	1	0
patient1	patient1_t1	137	2	0
patient1	patient1_t1	137	3	56
patient1	patient1_t1	137	4	11
patient1	patient1_t1	137	5	22
patient1	patient1_t1	137	6	11
patient1	patient1_t1	138	1	0
patient1	patient1_t1	138	2	0
patient1	patient1_t1	138	3	59
patient1	patient1_t1	138	4	9
patient1	patient1_t1	138	5	20
patient1	patient1_t1	138	6	12
patient1	patient1_t1	139	1	0
patient1	patient1_t1	139	2	0
patient1	patient1_t1	139	3	72
patient1	patient1_t1	139	4	0
patient1	patient1_t1	139	5	21
patient1	patient1_t1	139	6	7
patient1	patient1_t1	140	1	0
patient1	patient1_t1	140	2	0
patient1	patient1_t1	140	3	62
patient1	patient1_t1	140	4	10
patient1	patient1_t1	140	5	18
patient1	patient1_t1	140	6	10
patient1	patient1_t1	141	1	0
patient1	patient1_t1	141	2	1
patient1	patient1_t1	141	3	67
patient1	patient1_t1	141	4	0
patient1	patient1_t1	141	5	22
patient1	patient1_t1	141	6	10
patient1	patient1_t1	142	1	0
patient1	patient1_t1	142	2	0
patient1	patient1_t1	142	3	62
patient1	patient1_t1	142	4	9
patient1	patient1_t1	142	5	20
patient1	patient1_t1	142	6	8
patient1	patient1_t1	143	1	0
patient1	patient1_t1	143	2	0
patient1	patient1_t1	143	3	61
patient1	patient1_t1	143	4	9
patient1	patient1_t1	143	5	20
patient1	patient1_t1	143	6	10
patient1	patient1_t1	144	1	0
patient1	patient1_t1	144	2	0
patient1	patient1_t1	144	3	59
patient1	patient1_t1	144	4	12
patient1	patient1_t1	144	5	18
patient1	patient1_t1	144	6	11
patient1	patient1_t1	145	1	0
patient1	patient1_t1	145	2	0
patient1	patient1_t1	145	3	62
patient1	patient1_t1	145	4	9
patient1	patient1_t1	145	5	20
patient1	patient1_t1	145	6	9
patient1	patient1_t1	146	1	0
patient1	patient1_t1	146	2	0
patient1	patient1_t1	146	3	58
patient1	patient1_t1	146	4	13
patient1	patient1_t1	146	5	20
patient1	patient1_t1	146	6	9
patient1	patient1_t1	147	1	0
patient1	patient1_t1	147	2	0
patient1	patient1_t1	147	3	60
patient1	patient1_t1	147	4	12
patient1	patient1_t1	147	5	17
patient1	patient1_t1	147	6	11
patient1	patient1_t1	148	1	0
patient1	patient1_t1	148	2	0
patient1	patient1_t1	148	3	63
patient1	patient1_t1	148	4	9
patient1	patient1_t1	148	5	17
patient1	patient1_t1	148	6	11
patient1	patient1_t1	149	1	0
patient1	patient1_t1	149	2	0
patient1	patient1_t1	149	3	61
patient1	patient1_t1	149	4	10
patient1	patient1_t1	149	5	18
patient1	patient1_t1	149	6	11
patient1	patient1_t1	150	1	0
patient1	patient1_t1	150	2	0
patient1	patient1_t1	150	3	68
patient1	patient1_t1	150	4	1
patient1	patient1_t1	150	5	22
patient1	patient1_t1	150	6	9
patient1	patient1_t1	151	1	0
patient1	patient1_t1	151	2	2
patient1	patient1_t1	151	3	70
patient1	patient1_t1	151	4	0
patient1	patient1_t1	151	5	17
patient1	patient1_t1	151	6	11
patient1	patient1_t1	152	1	0
patient1	patient1_t1	152	2	0
patient1	patient1_t1	152	3	60
patient1	patient1_t1	152	4	10
patient1	patient1_t1	152	5	22
patient1	patient1_t1	152	6	8
patient1	patient1_t1	153	1	0
patient1	patient1_t1	153	2	0
patient1	patient1_t1	153	3	71
patient1	patient1_t1	153	4	0
patient1	patient1_t1	153	5	20
patient1	patient1_t1	153	6	9
patient1	patient1_t1	154	1	0
patient1	patient1_t1	154	2	0
patient1	patient1_t1	154	3	54
patient1	patient1_t1	154	4	11
patient1	patient1_t1	154	5	21
patient1	patient1_t1	154	6	14
patient1	patient1_t1	155	1	0
patient1	patient1_t1	155	2	4
patient1	patient1_t1	155	3	62
patient1	patient1_t1	155	4	0
patient1	patient1_t1	155	5	21
patient1	patient1_t1	155	6	13
patient1	patient1_t1	156	1	0
patient1	patient1_t1	156	2	0
patient1	patient1_t1	156	3	72
patient1	patient1_t1	156	4	0
patient1	patient1_t1	156	5	19
patient1	patient1_t1	156	6	9
patient1	patient1_t1	157	1	0
patient1	patient1_t1	157	2	0
patient1	patient1_t1	157	3	69
patient1	patient1_t1	157	4	0
patient1	patient1_t1	157	5	20
patient1	patient1_t1	157	6	11
patient1	patient1_t1	158	1	0
patient1	patient1_t1	158	2	1
patient1	patient1_t1	158	3	68
patient1	patient1_t1	158	4	0
patient1	patient1_t1	158	5	20
patient1	patient1_t1	158	6	11
patient1	patient1_t1	159	1	0
patient1	patient1_t1	159	2	0
patient1	patient1_t1	159	3	60
patient1	patient1_t1	159	4	10
patient1	patient1_t1	159	5	19
patient1	patient1_t1	159	6	11
patient1	patient1_t1	160	1	0
patient1	patient1_t1	160	2	0
patient1	patient1_t1	160	3	63
patient1	patient1_t1	160	4	11
patient1	patient1_t1	160	5	18
patient1	patient1_t1	160	6	8
patient1	patient1_t1	161	1	0
patient1	patient1_t1	161	2	0
patient1	patient1_t1	161	3	57
patient1	patient1_t1	161	4	12
patient1	patient1_t1	161	5	22
patient1	patient1_t1	161	6	9
patient1	patient1_t1	162	1	0
patient1	patient1_t1	162	2	0
patient1	patient1_t1	162	3	57
patient1	patient1_t1	162	4	11
patient1	patient1_t1	162	5	20
patient1	patient1_t1	162	6	12
patient1	patient1_t1	163	1	0
patient1	patient1_t1	163	2	0
patient1	patient1_t1	163	3	56
patient1	patient1_t1	163	4	13
patient1	patient1_t1	163	5	21
patient1	patient1_t1	163	6	10
patient1	patient1_t1	164	1	0
patient1	patient1_t1	164	2	0
patient1	patient1_t1	164	3	62
patient1	patient1_t1	164	4	8
patient1	patient1_t1	164	5	22
patient1	patient1_t1	164	6	8
patient1	patient1_t1	165	1	0
patient1	patient1_t1	165	2	0
patient1	patient1_t1	165	3	55
patient1	patient1_t1	165	4	13
patient1	patient1_t1	165	5	22
patient1	patient1_t1	165	6	10
patient1	patient1_t1	166	1	0
patient1	patient1_t1	166	2	0
patient1	patient1_t1	166	3	72
patient1	patient1_t1	166	4	0
patient1	patient1_t1	166	5	18
patient1	patient1_t1	166	6	10
patient1	patient1_t1	167	1	0
patient1	patient1_t1	167	2	1
patient1	patient1_t1	167	3	71
patient1	patient1_t1	167	4	0
patient1	patient1_t1	167	5	17
patient1	patient1_t1	167	6	11
patient1	patient1_t1	168	1	0
patient1	patient1_t1	168	2	0
patient1	patient1_t1	168	3	72
patient1	patient1_t1	168	4	0
patient1	patient1_t1	168	5	18
patient1	patient1_t1	168	6	10
patient1	patient1_t1	169	1	0
patient1	patient1_t1	169	2	0
patient1	patient1_t1	169	3	61
patient1	patient1_t1	169	4	9
patient1	patient1_t1	169	5	21
patient1	patient1_t1	169	6	9
patient1	patient1_t1	170	1	0
patient1	patient1_t1	170	2	3
patient1	patient1_t1	170	3	67
patient1	patient1_t1	170	4	0
patient1	patient1_t1	170	5	21
patient1	patient1_t1	170	6	9
patient1	patient1_t1	171	1	0
patient1	patient1_t1	171	2	1
patient1	patient1_t1	171	3	65
patient1	patient1_t1	171	4	0
patient1	patient1_t1	171	5	23
patient1	patient1_t1	171	6	11
patient1	patient1_t1	172	1	0
patient1	patient1_t1	172	2	0
patient1	patient1_t1	172	3	67
patient1	patient1_t1	172	4	0
patient1	patient1_t1	172	5	22
patient1	patient1_t1	172	6	11
patient1	patient1_t1	173	1	0
patient1	patient1_t1	173	2	0
patient1	patient1_t1	173	3	60
patient1	patient1_t1	173	4	10
patient1	patient1_t1	173	5	20
patient1	patient1_t1	173	6	10
patient1	patient1_t1	174	1	0
patient1	patient1_t1	174	2	0
patient1	patient1_t1	174	3	58
patient1	patient1_t1	174	4	11
patient1	patient1_t1	174	5	19
patient1	patient1_t1	174	6	12
patient1	patient1_t1	175	1	0
patient1	patient1_t1	175	2	5
patient1	patient1_t1	175	3	65
patient1	patient1_t1	175	4	0
patient1	patient1_t1	175	5	21
patient1	patient1_t1	175	6	9
patient1	patient1_t1	176	1	0
patient1	patient1_t1	176	2	0
patient1	patient1_t1	176	3	64
patient1	patient1_t1	176	4	9
patient1	patient1_t1	176	5	18
patient1	patient1_t1	176	6	9
patient1	patient1_t1	177	1	0
patient1	patient1_t1	177	2	0
patient1	patient1_t1	177	3	59
patient1	patient1_t1	177	4	12
patient1	patient1_t1	177	5	19
patient1	patient1_t1	177	6	10
patient1	patient1_t1	178	1	0
patient1	patient1_t1	178	2	0
patient1	patient1_t1	178	3	72
patient1	patient1_t1	178	4	0
patient1	patient1_t1	178	5	20
patient1	patient1_t1	178	6	8
patient1	patient1_t1	179	1	0
patient1	patient1_t1	179	2	1
patient1	patient1_t1	179	3	68
patient1	patient1_t1	179	4	0
patient1	patient1_t1	179	5	21
patient1	patient1_t1	179	6	10
patient1	patient1_t1	180	1	0
patient1	patient1_t1	180	2	1
patient1	patient1_t1	180	3	70
patient1	patient1_t1	180	4	0
patient1	patient1_t1	180	5	19
patient1	patient1_t1	180	6	10
patient1	patient1_t1	181	1	0
patient1	patient1_t1	181	2	2
patient1	patient1_t1	181	3	72
patient1	patient1_t1	181	4	0
patient1	patient1_t1	181	5	17
patient1	patient1_t1	181	6	9
patient1	patient1_t1	182	1	0
patient1	patient1_t1	182	2	0
patient1	patient1_t1	182	3	59
patient1	patient1_t1	182	4	15
patient1	patient1_t1	182	5	16
patient1	patient1_t1	182	6	10
patient1	patient1_t1	183	1	0
patient1	patient1_t1	183	2	0
patient1	patient1_t1	183	3	67
patient1	patient1_t1	183	4	0
patient1	patient1_t1	183	5	20
patient1	patient1_t1	183	6	13
patient1	patient1_t1	184	1	0
patient1	patient1_t1	184	2	0
patient1	patient1_t1	184	3	61
patient1	patient1_t1	184	4	11
patient1	patient1_t1	184	5	18
patient1	patient1_t1	184	6	10
patient1	patient1_t1	185	1	0
patient1	patient1_t1	185	2	0
patient1	patient1_t1	185	3	68
patient1	patient1_t1	185	4	0
patient1	patient1_t1	185	5	22
patient1	patient1_t1	185	6	10
patient1	patient1_t1	186	1	0
patient1	patient1_t1	186	2	1
patient1	patient1_t1	186	3	70
patient1	patient1_t1	186	4	0
patient1	patient1_t1	186	5	17
patient1	patient1_t1	186	6	12
patient1	patient1_t1	187	1	0
patient1	patient1_t1	187	2	0
patient1	patient1_t1	187	3	59
patient1	patient1_t1	187	4	9
patient1	patient1_t1	187	5	20
patient1	patient1_t1	187	6	12
patient1	patient1_t1	188	1	0
patient1	patient1_t1	188	2	0
patient1	patient1_t1	188	3	59
patient1	patient1_t1	188	4	13
patient1	patient1_t1	188	5	19
patient1	patient1_t1	188	6	9
patient1	patient1_t1	189	1	0
patient1	patient1_t1	189	2	0
patient1	patient1_t1	189	3	72
patient1	patient1_t1	189	4	0
patient1	patient1_t1	189	5	19
patient1	patient1_t1	189	6	9
patient1	patient1_t1	190	1	0
patient1	patient1_t1	190	2	0
patient1	patient1_t1	190	3	72
patient1	patient1_t1	190	4	0
patient1	patient1_t1	190	5	19
patient1	patient1_t1	190	6	9
patient1	patient1_t1	191	1	0
patient1	patient1_t1	191	2	0
patient1	patient1_t1	191	3	72
patient1	patient1_t1	191	4	0
patient1	patient1_t1	191	5	19
patient1	patient1_t1	191	6	9
patient1	patient1_t1	192	1	0
patient1	patient1_t1	192	2	0
patient1	patient1_t1	192	3	56
patient1	patient1_t1	192	4	12
patient1	patient1_t1	192	5	23
patient1	patient1_t1	192	6	9
patient1	patient1_t1	193	1	0
patient1	patient1_t1	193	2	0
patient1	patient1_t1	193	3	72
patient1	patient1_t1	193	4	0
patient1	patient1_t1	193	5	17
patient1	patient1_t1	193	6	11
patient1	patient1_t1	194	1	0
patient1	patient1_t1	194	2	1
patient1	patient1_t1	194	3	68
patient1	patient1_t1	194	4	0
patient1	patient1_t1	194	5	21
patient1	patient1_t1	194	6	10
patient1	patient1_t1	195	1	0
patient1	patient1_t1	195	2	3
patient1	patient1_t1	195	3	68
patient1	patient1_t1	195	4	0
patient1	patient1_t1	195	5	19
patient1	patient1_t1	195	6	10
patient1	patient1_t1	196	1	0
patient1	patient1_t1	196	2	0
patient1	patient1_t1	196	3	68
patient1	patient1_t1	196	4	0
patient1	patient1_t1	196	5	19
patient1	patient1_t1	196	6	13
patient1	patient1_t1	197	1	0
patient1	patient1_t1	197	2	0
patient1	patient1_t1	197	3	58
patient1	patient1_t1	197	4	12
patient1	patient1_t1	197	5	17
patient1	patient1_t1	197	6	13
patient1	patient1_t1	198	1	0
patient1	patient1_t1	198	2	0
patient1	patient1_t1	198	3	61
patient1	patient1_t1	198	4	9
patient1	patient1_t1	198	5	18
patient1	patient1_t1	198	6	12
patient1	patient1_t1	199	1	0
patient1	patient1_t1	199	2	1
patient1	patient1_t1	199	3	68
patient1	patient1_t1	199	4	0
patient1	patient1_t1	199	5	21
patient1	patient1_t1	199	6	10
patient1	patient1_t1	200	1	0
patient1	patient1_t1	200	2	0
patient1	patient1_t1	200	3	62
patient1	patient1_t1	200	4	9
patient1	patient1_t1	200	5	20
patient1	patient1_t1	200	6	9
patient1	patient1_t1	201	1	0
patient1	patient1_t1	201	2	0
patient1	patient1_t1	201	3	57
patient1	patient1_t1	201	4	12
patient1	patient1_t1	201	5	19
patient1	patient1_t1	201	6	12
patient1	patient1_t1	202	1	0
patient1	patient1_t1	202	2	4
patient1	patient1_t1	202	3	65
patient1	patient1_t1	202	4	0
patient1	patient1_t1	202	5	19
patient1	patient1_t1	202	6	12
patient1	patient1_t1	203	1	0
patient1	patient1_t1	203	2	0
patient1	patient1_t1	203	3	60
patient1	patient1_t1	203	4	11
patient1	patient1_t1	203	5	20
patient1	patient1_t1	203	6	9
patient1	patient1_t1	204	1	0
patient1	patient1_t1	204	2	0
patient1	patient1_t1	204	3	70
patient1	patient1_t1	204	4	0
patient1	patient1_t1	204	5	20
patient1	patient1_t1	204	6	10
patient1	patient1_t1	205	1	0
patient1	patient1_t1	205	2	2
patient1	patient1_t1	205	3	68
patient1	patient1_t1	205	4	0
patient1	patient1_t1	205	5	20
patient1	patient1_t1	205	6	10
patient1	patient1_t1	206	1	0
patient1	patient1_t1	206	2	0
patient1	patient1_t1	206	3	55
patient1	patient1_t1	206	4	12
patient1	patient1_t1	206	5	22
patient1	patient1_t1	206	6	11
patient1	patient1_t1	207	1	0
patient1	patient1_t1	207	2	0
patient1	patient1_t1	207	3	62
patient1	patient1_t1	207	4	9
patient1	patient1_t1	207	5	20
patient1	patient1_t1	207	6	9
patient1	patient1_t1	208	1	0
patient1	patient1_t1	208	2	1
patient1	patient1_t1	208	3	68
patient1	patient1_t1	208	4	0
patient1	patient1_t1	208	5	20
patient1	patient1_t1	208	6	11
patient1	patient1_t1	209	1	0
patient1	patient1_t1	209	2	0
patient1	patient1_t1	209	3	63
patient1	patient1_t1	209	4	11
patient1	patient1_t1	209	5	19
patient1	patient1_t1	209	6	7
patient1	patient1_t1	210	1	0
patient1	patient1_t1	210	2	1
patient1	patient1_t1	210	3	68
patient1	patient1_t1	210	4	0
patient1	patient1_t1	210	5	24
patient1	patient1_t1	210	6	7
patient1	patient1_t1	211	1	0
patient1	patient1_t1	211	2	0
patient1	patient1_t1	211	3	62
patient1	patient1_t1	211	4	12
patient1	patient1_t1	211	5	19
patient1	patient1_t1	211	6	7
patient1	patient1_t1	212	1	0
patient1	patient1_t1	212	2	1
patient1	patient1_t1	212	3	69
patient1	patient1_t1	212	4	0
patient1	patient1_t1	212	5	21
patient1	patient1_t1	212	6	9
patient1	patient1_t1	213	1	0
patient1	patient1_t1	213	2	0
patient1	patient1_t1	213	3	61
patient1	patient1_t1	213	4	10
patient1	patient1_t1	213	5	19
patient1	patient1_t1	213	6	10
patient1	patient1_t1	214	1	0
patient1	patient1_t1	214	2	1
patient1	patient1_t1	214	3	72
patient1	patient1_t1	214	4	0
patient1	patient1_t1	214	5	19
patient1	patient1_t1	214	6	8
patient1	patient1_t1	215	1	0
patient1	patient1_t1	215	2	0
patient1	patient1_t1	215	3	58
patient1	patient1_t1	215	4	11
patient1	patient1_t1	215	5	22
patient1	patient1_t1	215	6	9
patient1	patient1_t1	216	1	0
patient1	patient1_t1	216	2	1
patient1	patient1_t1	216	3	66
patient1	patient1_t1	216	4	0
patient1	patient1_t1	216	5	21
patient1	patient1_t1	216	6	12
patient1	patient1_t1	217	1	0
patient1	patient1_t1	217	2	0
patient1	patient1_t1	217	3	70
patient1	patient1_t1	217	4	0
patient1	patient1_t1	217	5	20
patient1	patient1_t1	217	6	10
patient1	patient1_t1	218	1	0
patient1	patient1_t1	218	2	0
patient1	patient1_t1	218	3	63
patient1	patient1_t1	218	4	9
patient1	patient1_t1	218	5	19
patient1	patient1_t1	218	6	9
patient1	patient1_t1	219	1	0
patient1	patient1_t1	219	2	0
patient1	patient1_t1	219	3	69
patient1	patient1_t1	219	4	0
patient1	patient1_t1	219	5	20
patient1	patient1_t1	219	6	11
patient1	patient1_t1	220	1	0
patient1	patient1_t1	220	2	0
patient1	patient1_t1	220	3	58
patient1	patient1_t1	220	4	11
patient1	patient1_t1	220	5	18
patient1	patient1_t1	220	6	13
patient1	patient1_t1	221	1	0
patient1	patient1_t1	221	2	0
patient1	patient1_t1	221	3	70
patient1	patient1_t1	221	4	0
patient1	patient1_t1	221	5	20
patient1	patient1_t1	221	6	10
patient1	patient1_t1	222	1	0
patient1	patient1_t1	222	2	0
patient1	patient1_t1	222	3	72
patient1	patient1_t1	222	4	0
patient1	patient1_t1	222	5	18
patient1	patient1_t1	222	6	10
patient1	patient1_t1	223	1	0
patient1	patient1_t1	223	2	0
patient1	patient1_t1	223	3	61
patient1	patient1_t1	223	4	10
patient1	patient1_t1	223	5	18
patient1	patient1_t1	223	6	11
patient1	patient1_t1	224	1	0
patient1	patient1_t1	224	2	0
patient1	patient1_t1	224	3	68
patient1	patient1_t1	224	4	0
patient1	patient1_t1	224	5	23
patient1	patient1_t1	224	6	9
patient1	patient1_t1	225	1	0
patient1	patient1_t1	225	2	0
patient1	patient1_t1	225	3	56
patient1	patient1_t1	225	4	11
patient1	patient1_t1	225	5	22
patient1	patient1_t1	225	6	11
patient1	patient1_t1	226	1	0
patient1	patient1_t1	226	2	0
patient1	patient1_t1	226	3	66
patient1	patient1_t1	226	4	8
patient1	patient1_t1	226	5	17
patient1	patient1_t1	226	6	9
patient1	patient1_t1	227	1	0
patient1	patient1_t1	227	2	0
patient1	patient1_t1	227	3	53
patient1	patient1_t1	227	4	14
patient1	patient1_t1	227	5	22
patient1	patient1_t1	227	6	11
patient1	patient1_t1	228	1	0
patient1	patient1_t1	228	2	0
patient1	patient1_t1	228	3	63
patient1	patient1_t1	228	4	10
patient1	patient1_t1	228	5	18
patient1	patient1_t1	228	6	9
patient1	patient1_t1	229	1	0
patient1	patient1_t1	229	2	1
patient1	patient1_t1	229	3	73
patient1	patient1_t1	229	4	0
patient1	patient1_t1	229	5	18
patient1	patient1_t1	229	6	8
patient1	patient1_t1	230	1	0
patient1	patient1_t1	230	2	0
patient1	patient1_t1	230	3	71
patient1	patient1_t1	230	4	0
patient1	patient1_t1	230	5	20
patient1	patient1_t1	230	6	9
patient1	patient1_t1	231	1	0
patient1	patient1_t1	231	2	0
patient1	patient1_t1	231	3	72
patient1	patient1_t1	231	4	0
patient1	patient1_t1	231	5	19
patient1	patient1_t1	231	6	9
patient1	patient1_t1	232	1	0
patient1	patient1_t1	232	2	0
patient1	patient1_t1	232	3	61
patient1	patient1_t1	232	4	9
patient1	patient1_t1	232	5	20
patient1	patient1_t1	232	6	10
patient1	patient1_t1	233	1	0
patient1	patient1_t1	233	2	0
patient1	patient1_t1	233	3	57
patient1	patient1_t1	233	4	12
patient1	patient1_t1	233	5	21
patient1	patient1_t1	233	6	10
patient1	patient1_t1	234	1	0
patient1	patient1_t1	234	2	0
patient1	patient1_t1	234	3	58
patient1	patient1_t1	234	4	11
patient1	patient1_t1	234	5	20
patient1	patient1_t1	234	6	11
patient1	patient1_t1	235	1	0
patient1	patient1_t1	235	2	0
patient1	patient1_t1	235	3	62
patient1	patient1_t1	235	4	9
patient1	patient1_t1	235	5	19
patient1	patient1_t1	235	6	10
patient1	patient1_t1	236	1	0
patient1	patient1_t1	236	2	0
patient1	patient1_t1	236	3	66
patient1	patient1_t1	236	4	0
patient1	patient1_t1	236	5	22
patient1	patient1_t1	236	6	12
patient1	patient1_t1	237	1	0
patient1	patient1_t1	237	2	0
patient1	patient1_t1	237	3	73
patient1	patient1_t1	237	4	0
patient1	patient1_t1	237	5	19
patient1	patient1_t1	237	6	8
patient1	patient1_t1	238	1	0
patient1	patient1_t1	238	2	0
patient1	patient1_t1	238	3	62
patient1	patient1_t1	238	4	7
patient1	patient1_t1	238	5	19
patient1	patient1_t1	238	6	12
patient1	patient1_t1	239	1	0
patient1	patient1_t1	239	2	0
patient1	patient1_t1	239	3	70
patient1	patient1_t1	239	4	0
patient1	patient1_t1	239	5	19
patient1	patient1_t1	239	6	11
patient1	patient1_t1	240	1	0
patient1	patient1_t1	240	2	0
patient1	patient1_t1	240	3	72
patient1	patient1_t1	240	4	0
patient1	patient1_t1	240	5	19
patient1	patient1_t1	240	6	9
patient1	patient1_t1	241	1	0
patient1	patient1_t1	241	2	1
patient1	patient1_t1	241	3	67
patient1	patient1_t1	241	4	0
patient1	patient1_t1	241	5	21
patient1	patient1_t1	241	6	11
patient1	patient1_t1	242	1	0
patient1	patient1_t1	242	2	1
patient1	patient1_t1	242	3	70
patient1	patient1_t1	242	4	0
patient1	patient1_t1	242	5	21
patient1	patient1_t1	242	6	8
patient1	patient1_t1	243	1	0
patient1	patient1_t1	243	2	0
patient1	patient1_t1	243	3	72
patient1	patient1_t1	243	4	0
patient1	patient1_t1	243	5	17
patient1	patient1_t1	243	6	11
patient1	patient1_t1	244	1	0
patient1	patient1_t1	244	2	0
patient1	patient1_t1	244	3	60
patient1	patient1_t1	244	4	9
patient1	patient1_t1	244	5	18
patient1	patient1_t1	244	6	13
patient1	patient1_t1	245	1	0
patient1	patient1_t1	245	2	0
patient1	patient1_t1	245	3	76
patient1	patient1_t1	245	4	0
patient1	patient1_t1	245	5	16
patient1	patient1_t1	245	6	8
patient1	patient1_t1	246	1	0
patient1	patient1_t1	246	2	0
patient1	patient1_t1	246	3	62
patient1	patient1_t1	246	4	9
patient1	patient1_t1	246	5	19
patient1	patient1_t1	246	6	10
patient1	patient1_t1	247	1	0
patient1	patient1_t1	247	2	0
patient1	patient1_t1	247	3	70
patient1	patient1_t1	247	4	0
patient1	patient1_t1	247	5	20
patient1	patient1_t1	247	6	10
patient1	patient1_t1	248	1	0
patient1	patient1_t1	248	2	0
patient1	patient1_t1	248	3	57
patient1	patient1_t1	248	4	10
patient1	patient1_t1	248	5	23
patient1	patient1_t1	248	6	10
patient1	patient1_t1	249	1	0
patient1	patient1_t1	249	2	0
patient1	patient1_t1	249	3	64
patient1	patient1_t1	249	4	9
patient1	patient1_t1	249	5	18
patient1	patient1_t1	249	6	9
patient1	patient1_t2	0	1	0
patient1	patient1_t2	0	2	0
patient1	patient1_t2	0	3	52
patient1	patient1_t2	0	4	6
patient1	patient1_t2	0	5	37
patient1	patient1_t2	0	6	5
patient1	patient1_t2	1	1	0
patient1	patient1_t2	1	2	0
patient1	patient1_t2	1	3	49
patient1	patient1_t2	1	4	7
patient1	patient1_t2	1	5	38
patient1	patient1_t2	1	6	6
patient1	patient1_t2	2	1	0
patient1	patient1_t2	2	2	0
patient1	patient1_t2	2	3	55
patient1	patient1_t2	2	4	9
patient1	patient1_t2	2	5	31
patient1	patient1_t2	2	6	5
patient1	patient1_t2	3	1	0
patient1	patient1_t2	3	2	2
patient1	patient1_t2	3	3	57
patient1	patient1_t2	3	4	0
patient1	patient1_t2	3	5	35
patient1	patient1_t2	3	6	6
patient1	patient1_t2	4	1	0
patient1	patient1_t2	4	2	0
patient1	patient1_t2	4	3	49
patient1	patient1_t2	4	4	8
patient1	patient1_t2	4	5	38
patient1	patient1_t2	4	6	5
patient1	patient1_t2	5	1	0
patient1	patient1_t2	5	2	0
patient1	patient1_t2	5	3	59
patient1	patient1_t2	5	4	4
patient1	patient1_t2	5	5	31
patient1	patient1_t2	5	6	6
patient1	patient1_t2	6	1	0
patient1	patient1_t2	6	2	0
patient1	patient1_t2	6	3	60
patient1	patient1_t2	6	4	0
patient1	patient1_t2	6	5	35
patient1	patient1_t2	6	6	5
patient1	patient1_t2	7	1	0
patient1	patient1_t2	7	2	0
patient1	patient1_t2	7	3	50
patient1	patient1_t2	7	4	8
patient1	patient1_t2	7	5	37
patient1	patient1_t2	7	6	5
patient1	patient1_t2	8	1	0
patient1	patient1_t2	8	2	0
patient1	patient1_t2	8	3	60
patient1	patient1_t2	8	4	0
patient1	patient1_t2	8	5	35
patient1	patient1_t2	8	6	4
patient1	patient1_t2	9	1	0
patient1	patient1_t2	9	2	0
patient1	patient1_t2	9	3	47
patient1	patient1_t2	9	4	8
patient1	patient1_t2	9	5	37
patient1	patient1_t2	9	6	7
patient1	patient1_t2	10	1	0
patient1	patient1_t2	10	2	1
patient1	patient1_t2	10	3	60
patient1	patient1_t2	10	4	0
patient1	patient1_t2	10	5	32
patient1	patient1_t2	10	6	7
patient1	patient1_t2	11	1	0
patient1	patient1_t2	11	2	0
patient1	patient1_t2	11	3	53
patient1	patient1_t2	11	4	0
patient1	patient1_t2	11	5	40
patient1	patient1_t2	11	6	7
patient1	patient1_t2	12	1	0
patient1	patient1_t2	12	2	0
patient1	patient1_t2	12	3	56
patient1	patient1_t2	12	4	6
patient1	patient1_t2	12	5	34
patient1	patient1_t2	12	6	4
patient1	patient1_t2	13	1	0
patient1	patient1_t2	13	2	0
patient1	patient1_t2	13	3	62
patient1	patient1_t2	13	4	0
patient1	patient1_t2	13	5	33
patient1	patient1_t2	13	6	5
patient1	patient1_t2	14	1	0
patient1	patient1_t2	14	2	0
patient1	patient1_t2	14	3	60
patient1	patient1_t2	14	4	0
patient1	patient1_t2	14	5	36
patient1	patient1_t2	14	6	4
patient1	patient1_t2	15	1	0
patient1	patient1_t2	15	2	0
patient1	patient1_t2	15	3	52
patient1	patient1_t2	15	4	11
patient1	patient1_t2	15	5	33
patient1	patient1_t2	15	6	4
patient1	patient1_t2	16	1	0
patient1	patient1_t2	16	2	0
patient1	patient1_t2	16	3	55
patient1	patient1_t2	16	4	0
patient1	patient1_t2	16	5	38
patient1	patient1_t2	16	6	7
patient1	patient1_t2	17	1	0
patient1	patient1_t2	17	2	0
patient1	patient1_t2	17	3	52
patient1	patient1_t2	17	4	8
patient1	patient1_t2	17	5	35
patient1	patient1_t2	17	6	5
patient1	patient1_t2	18	1	0
patient1	patient1_t2	18	2	0
patient1	patient1_t2	18	3	56
patient1	patient1_t2	18	4	0
patient1	patient1_t2	18	5	37
patient1	patient1_t2	18	6	7
patient1	patient1_t2	19	1	0
patient1	patient1_t2	19	2	0
patient1	patient1_t2	19	3	59
patient1	patient1_t2	19	4	0
patient1	patient1_t2	19	5	36
patient1	patient1_t2	19	6	5
patient1	patient1_t2	20	1	0
patient1	patient1_t2	20	2	0
patient1	patient1_t2	20	3	53
patient1	patient1_t2	20	4	8
patient1	patient1_t2	20	5	34
patient1	patient1_t2	20	6	5
patient1	patient1_t2	21	1	0
patient1	patient1_t2	21	2	0
patient1	patient1_t2	21	3	52
patient1	patient1_t2	21	4	8
patient1	patient1_t2	21	5	36
patient1	patient1_t2	21	6	4
patient1	patient1_t2	22	1	0
patient1	patient1_t2	22	2	0
patient1	patient1_t2	22	3	55
patient1	patient1_t2	22	4	6
patient1	patient1_t2	22	5	34
patient1	patient1_t2	22	6	5
patient1	patient1_t2	23	1	0
patient1	patient1_t2	23	2	0
